fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2	est_phi_ins	est_theta_ins	err_ins	est_phi_ins_2	est_theta_ins_2	err_ins_2
239	7	44.04	-12	11	0	0	16.22	4	-8	24.79	-8	2	9.84	0	2	14.93	
240	7	44.04	-12	11	0	0	16.22	4	-8	24.79	-7	2	10.28	0	2	14.93	
241	7	43.86	-11	12	0	0	16.22	4	-9	25.75	-7	2	10.76	1	2	15.54	
242	7	43.86	-11	12	0	0	16.22	5	-9	26.34	-7	2	10.76	1	2	15.54	
243	7	43.86	-11	12	0	0	16.22	5	-10	27.14	-7	2	10.76	2	2	16.31	
244	7	43.86	-11	12	1	0	16.91	6	-10	27.74	-6	2	11.16	3	2	17.10	
245	7	43.86	-11	12	1	0	16.91	7	-11	29.13	-6	2	11.16	4	2	17.92	
246	7	43.86	-11	12	1	0	16.91	7	-12	29.92	-6	2	11.16	4	2	17.92	
247	7	43.86	-11	12	2	0	17.62	8	-12	30.52	-6	2	11.16	5	2	18.75	
248	7	43.84	-10	12	2	0	16.91	8	-13	30.72	-5	2	11.16	6	2	18.75	
249	7	43.84	-10	12	3	0	17.62	10	-13	31.92	-5	2	11.16	7	2	19.59	
250	7	43.84	-10	12	3	0	17.62	10	-14	32.70	-5	2	11.16	7	2	19.59	
251	7	43.84	-10	12	3	0	17.62	10	-14	32.70	-5	2	11.16	8	2	20.45	
252	7	43.84	-10	12	4	0	18.36	12	-15	34.69	-4	2	11.63	9	2	21.32	
253	7	43.66	-9	13	4	0	18.31	12	-15	34.87	-4	2	12.06	10	2	21.79	
254	7	43.66	-9	13	5	0	19.02	13	-16	36.25	-4	2	12.06	10	2	21.79	
255	7	43.66	-9	13	5	0	19.02	14	-17	37.63	-4	2	12.06	11	2	22.65	
256	8	45.02	-9	13	-7	10	3.58	-7	10	3.58	-14	10	5.74	-14	10	5.74	
257	8	45.02	-9	13	-7	10	3.58	-6	10	4.20	-14	10	5.74	-13	11	4.39	
258	8	45.03	-8	13	-7	10	3.16	-6	10	3.58	-14	10	6.60	-13	12	4.98	
259	8	45.02	-8	14	-7	10	4.12	-5	11	4.19	-14	10	7.10	-13	13	4.96	
260	8	45.02	-8	14	-7	10	4.12	-5	11	4.19	-14	10	7.10	-13	14	4.85	
261	8	45.02	-7	14	-7	10	4.00	-4	12	3.54	-14	10	7.93	-13	16	6.13	
262	8	45.02	-7	14	-6	10	4.12	-3	12	4.38	-14	10	7.93	-13	17	6.51	
